0,1,2,3,4,5,6,7,8,9
0.8407394602661499,0.7260794059795445,0.7113215271132723,0.7132607708880424,0.7257545198646075,0.7254377066844989,0.8568125488147823,0.7269209125393873,0.7235508735791404,0.7203473074021768
0.76097867994115,0.7404677962450746,0.7459488660872744,0.7452891617005607,0.7330700103342561,0.736013399340731,0.7727729007877547,0.7393106508882398,0.7324141062850911,0.7300524149625078
0.7306515626186617,0.7501312206871484,0.763141358680854,0.7653835234287067,0.7695570979986346,0.7639870803805511,0.7022982156161336,0.7626811759569555,0.7540156838184845,0.7536319571746491
0.6665971373163618,0.7899201776481297,0.7896813591478733,0.7752596507145353,0.7760853607020071,0.7831161287845195,0.6765400820709336,0.771491271617061,0.7809778643646677,0.7839485164615425
0.6191464757824072,0.7929993409971718,0.801627158360347,0.792033655245263,0.7947168345604222,0.8095008133830647,0.5945590845011012,0.8093226849168995,0.7967127299876348,0.803908065106706
0.5511096812938724,0.813191050044944,0.8194982579752657,0.8132968478204502,0.8249087593563119,0.8166846957102181,0.538345055337213,0.813134691086616,0.8168234637196741,0.821437526343833
0.4842933451714768,0.8403571955349506,0.8399518749049887,0.833667313728457,0.8376318484155535,0.8317597249027204,0.4702043372211019,0.8446850232965784,0.8492080005841757,0.8389895424248841
0.41782492561816964,0.8506134307820686,0.8514741191882825,0.8573801451995662,0.8534108099017904,0.865527799501862,0.4282503879143168,0.8648329006717522,0.8649910211576891,0.8619976103929777
0.36624205765901924,0.8768258369644939,0.8750472383016752,0.8716465549728953,0.8792652183460005,0.8706913197346104,0.3460543643656098,0.8806209462980134,0.876469507821381,0.8840131666829969
0.3,0.9078991374263531,0.8917310276325294,0.8998568584392586,0.8926658052886663,0.8999048448758307,0.305025154016189,0.907729913642,0.9032050596519733,0.9073236803312398
